"STATUS_0", "Incompleto o invalido"
"Void order succeed. Ingenico ePayments status: %s.", "Annullamento d'ordine completato. Sato del Ingenico ePayments: %s."
"Void order failed. Ingenico ePayments status: %s.", "Annullamento d'ordine fallito. Sato del Ingenico ePayments: %s."
"Authorization", "Autorizzazione"
"Direct Sale", "Vendita"
"Horizontally grouped logo with group name on left", "Ragruppamento dei logi orizontale con nome del gruppo a sinistra"
"Horizontally grouped logo with no group name", "Ragruppamento dei logi orizontale senza nome del gruppo"
"Verical list", "Lista verticale"
"You will be redirected to the payment page after the order confirmation.", "Si verrà trasferiti sulla pagina di pagamento dopo la conferma dell'ordine."
"Payment failed. Please select another payment method.", "Pagamento fallito. Si prega di selezionare un altro metodo di pagamento."
"Payment failed. Please review your input or select another payment method.", "Pagamento fallito. Si prega di di verificare i dati inseritio di selezionare un altro metodo di pagamento."
"Incorrect credit card expiration date.", "Data di scadenza della carta di credito incorretta."
"Credit Card Type", "Tipo di carta di credito"
"Name on Card", "Intestatario"
"Credit Card Number", "Numero di carta di credito"
"Expiration Date", "Data di scadenza"
"Account holder", "Intestatario"
"Account number", "Numero di conto"
"Bank code", "codice bankario"
"BCMC", "Bancontact/Mister Cash"
"You will be redirected to Ingenico ePayments website when you place an order.", "Verrà rindirizzato alla pagina web Ingenico ePayments quando l'ordine sarà piazzato."
"Please wait a moment. This page will transfer your data to Ingenico ePayments payment gateway in a few seconds.", "Si prega di attendere. Questa pagina transferirà i Vostri dati al gateway di pagamento Ingenico ePayments in pochi secondi."
"PSPID is a case sensitive field", "IL PSPID é sensibile alle maiuscole"
"SHA-IN Pass phrase", "Firma SHA-1-IN"
"Refer to Ingenico ePayments's backend in section <em>Technical Information</em> on tab <em>Data and origin verification</em>.", "Riferirsi al Ingenico ePayments backend sezione <em>Informazione tecniche</em> tab <em>Controllo dei dati e d'origine </em>."
"SHA-OUT Pass phrase", "Firma SHA-1-OUT"
"Refer to Ingenico ePayments's backend in section <em>Technical Information</em> on tab <em>Transaction feedback</em>.", "_________"
"Test url example: https://secure.ogone.com/ncol/test/orderstandard_utf8.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderstandard_utf8.asp", "esempio test: https://secure.ogone.com/ncol/test/orderstandard_utf8.asp<br />esempio production: https://secure.ogone.com/ncol/prod/orderstandard_utf8.asp"
"Test url example: https://secure.ogone.com/ncol/test/maintenancedirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/maintenancedirect.asp", "esempio test: https://secure.ogone.com/ncol/test/maintenancedirect.asp<br />esempio production: https://secure.ogone.com/ncol/prod/maintenancedirect.asp"
"Test url example: https://secure.ogone.com/ncol/test/orderdirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderdirect.asp", "esempio test: https://secure.ogone.com/ncol/test/orderdirect.asp<br />esempio production: https://secure.ogone.com/ncol/prod/orderdirect.asp"
"API User", "API User"
"API Password", "Password del API"
"Payment Action", "Azione di pagametno"
"If you choose 'Ingenico ePayments', you will need to fill in all the following fields.", "Se si seleziona 'Ingenico ePayments', si drovà compilare i seguenti campi."
"Payment Template", "Modello di pagamento"
"Title of the Ingenico ePayments Template", "Titolo del modello Ingenico ePayments "
"Background Color of Ingenico ePayments Template", "Colore di sfondo del modello Ingenico ePayments"
"Text Color of the Ingenico ePayments Template", "Colore del testo del modello Ingenico ePayments"
"Table Background Color of the Ingenico ePayments Template", "Colore di sfondo della tabella del modello Ingenico ePayments"
"Table Text Color of the Ingenico ePayments Template", "Colore del testo della tabella del modello Ingenico ePayments"
"Button Background Color of the Ingenico ePayments Template", "colore di sfondo del pulsante del modello Ingenico ePayments"
"Button Text Color of the Ingenico ePayments Template", "Colore delle testo del bottone del modello Ingenico ePayments"
"Font Family of the Ingenico ePayments Template", "Tipo di carattere del modello Ingenico ePayments"
"Logo of the Ingenico ePayments Template", "Logo del modello Ingenico ePayments"
"Layout of Payment Methods", "Layout della pagina di pagamento"
"e.g: white", "bianco"
"e.g: black", "nero"
"e.g: Verdana", "Verdana"
"Debug", "Debug"
"Ingenico ePayments Account", "Conto Ingenico ePayments"
"URL/filename of the logo. The URL must be absolute and stored on a secure server.", "URL/nome del file del logo. L' URL deve essere assoluto e salvato su un server sicuro"
"Countries", "Nazioni"
"Enabled Card Types", "Tipi di carte"
"Enable 3D secure", "Attivare 3D secure"
"SCORING_DESCRIPTION_AAVCHECK", "Risultato della verifica automatica dell'indirizzo. Al momento la verifica è disponibile solo per American Express. Valori possibili:<br />KO: l'indirizzo è stato inviato ma l'acquirente ha dato risposta negativa alla verifica dell'indirizzo, ossia l'indirizzo è errato.<br />OK:<br />1. l'indirizzo è stato inviato e l'acquirente ha dato risposta positiva alla verifica dell'indirizzo, ossia l'indirizzo è corretto OPPURE<br />2. l'acquirente ha inviato un codice di autorizzazione senza però restituire una risposta specifica per la verifica dell'indirizzo.<br /><br />NO: tutti gli altri casi. Per esempio, non è stato trasmesso alcun indirizzo."
"SCORING_DESCRIPTION_CVCCHECK", "Risultato della verifica del codice di verifica della carta. Valori possibili:<br />KO: il codice CVC è stato inviato ma l'acquirente ha dato risposta negativa alla verifica del codice CVC, ossia il codice CVC è errato.<br />OK:<br />1. il codice CVC è stato inviato e l'acquirente ha dato risposta positiva alla verifica del codice CVC, ossia il codice CVC è corretto OPPURE<br />2. l'acquirente ha inviato un codice di autorizzazione senza però restituire un risultato specifico per la verifica del codice CVC.<br /><br />NO: tutti gli altri casi. Per esempio, non è stato trasmesso alcun codice CVC."
"SCORING_DESCRIPTION_CCCTY", "Il paese di origine della carta di credito.<br />Formato: codice alfabetico ISO a 2 caratteri. Se questo parametro non è disponibile, nella risposta viene restituito il codice '99'."
"SCORING_DESCRIPTION_IPCTY", "Il paese di origine dell'indirizzo IP.<br />Formato: codice alfabetico ISO a 2 caratteri. Se questo parametro non è disponibile, nella risposta viene restituito il codice '99'."
"SCORING_DESCRIPTION_NBREMAILUSAGE", "Number of times an email address has been used over a certain period"
"SCORING_DESCRIPTION_NBRIPUSAGE", "Numero di transazioni concluse con successo per indirizzo IP, per periodo"
"SCORING_DESCRIPTION_NBRIPUSAGE_ALLTX", "Number of times an IP address has been used for successful and/or declined transactions over a certain period"
"SCORING_DESCRIPTION_NBRUSAGE", "Number of times a credit card has been used over a certain period"
"SCORING_DESCRIPTION_VC", "Carta virtuale. Valori possibili:<br />ECB: E-Carte Bleue<br />ICN: Internet City Number<br />NO: tutti gli altri casi. Per esempio, la carta non è una carta virtuale valida"
"SCORING_DESCRIPTION_CARDNO", "Numero della carta"
"SCORING_DESCRIPTION_ED", "Data di scadenza"
"SCORING_DESCRIPTION_CN", "Titolare della carta"
"Card Verification Number", "CVC"
"Payment from Applicable Countries","Il pagamento da Paesi Applicabili"
"Payment from Specific Countries","Il pagamento da paesi specifici"
"All Allowed Countries","Tutti i paesi ammessi"
"Specific Countries","paesi specifici"
"Delete Image","Elimina Immagine"
"Allowed file types: jpeg, gif, png.","Tipi di file consentiti: jpeg, gif, png"
"Payment Logo","Logo di pagamento"
"Payment Logo Visibility","Logo di pagamento Visibilità"
"Netresearch_OPS::Left","Sinistra"
"Netresearch_OPS::Right","Destra"
"Netresearch_OPS::Non Visible","Non Visibile"
"Disallowed file type.","Non consentito filetype."
"Payment Information","Informazioni di pagamento"
"Submit","Invia"
"Cancel","Annulla"
"Transmit new payment method...","Trasferimento Nuovo metodo di pagamento ..."
"Your given data","La vostra data di dati"
"Order Number","Numero Ordine"
"Billing Address","Indirizzo di fatturazione"
"Shipping Address","Dell'indirizzo di trasporto"
"Aliasusage New","Aliasusage Nuovo"
"Here you can enter the desired text which will be displayed on Ingenico ePayments side.","Qui è possibile inserire il testo desiderato che verrà visualizzato sul lato Ingenico ePayments."
"Aliasusage existing Alias","Aliasusage esistente Alias"
"Here you can enter the desired text which is used for existing alias, the text will be displayed on Ingenico ePayments side.","Qui è possibile inserire il testo desiderato che viene utilizzato per alias esistente, il testo verrà visualizzato sul lato Ingenico ePayments."
"Pay now", "Pagare"
